name,rating,description,website_url,formatted_address,latitude,longitude,price_level
The Metropolitan Museum of Art,4.8,"A grand setting for one of the world's greatest collections of art, from ancient to contemporary.",https://www.metmuseum.org/,"1000 5th Ave, New York, NY 10028, USA",40.7794366,-73.963244,
American Museum of Natural History,4.6,"From dinosaurs to outer space & everything in between, this huge museum showcases natural wonders.",https://www.amnh.org/,"200 Central Prk W, New York, NY 10024, USA",40.7813241,-73.9739882,
Solomon R. Guggenheim Museum,4.3,Frank Lloyd Wright–designed modern art museum with an architecturally significant spiral rotunda.,https://www.guggenheim.org/,"1071 5th Ave, New York, NY 10128, USA",40.7829796,-73.9589706,
The Frick Collection,4.6,,https://www.frick.org/,"1 E 70th St, New York, NY 10021, USA",40.7710857,-73.9673861,
Museum of the City of New York,4.5,"Photos, maps & other artifacts trace NYC history from its 16th-century birth to the present day.",https://www.mcny.org/,"1220 5th Ave, New York, NY 10029, USA",40.7924939,-73.95190889999999,
The New York Historical,4.5,"West Side museum presenting New York City history via artwork, manuscripts, furniture and more.",https://www.nyhistory.org/,"170 Central Prk W, New York, NY 10024, USA",40.77934870000001,-73.9739079,
Neue Galerie New York,4.4,Refined museum dedicated to German & Austrian art & design with a focus on the early 20th century.,http://www.neuegalerie.org/,"1048 5th Ave, New York, NY 10028, USA",40.781264,-73.9603267,
Children's Museum Of Manhattan,4.2,"Kids' museum featuring a range of hands-on, educational & entertaining exhibits & activities.",http://cmom.org/,"212 W 83rd St, New York, NY 10024, USA",40.785877,-73.977283,
"Cooper Hewitt, Smithsonian Design Museum",4.4,The Smithsonian's design collection & rotating exhibits are on display in this historic townhouse.,https://www.cooperhewitt.org/,"2 E 91st St, New York, NY 10128, USA",40.7843958,-73.9578732,
The Jewish Museum,4.4,Contemporary gift shop for handcrafted Jewish ceremonial objects & traditional marriage contracts.,https://thejewishmuseum.org/,"1109 5th Ave &, E 92nd St, New York, NY 10128, USA",40.785334,-73.957351,
The Mall and Literary Walk,4.8,"Statues of Shakespeare, Robert Burns & other writers dot this wide promenade shaded by elm trees.",https://www.centralparknyc.org/locations/the-mall-literary-walk,"The Mall, New York, NY 10022, USA",40.77235220000001,-73.9715901,
"Gilder Center for Science, Education, and Innovation",4.8,,https://www.amnh.org/exhibitions/permanent/gilder-center,"415 Columbus Ave, New York, NY 10024, USA",40.7816285,-73.9744255,
Asia Society and Museum,4.5,"Asian cultural center offering events, talks, performances & an art museum with diverse exhibitions.",http://asiasociety.org/new-york,"725 Park Ave, New York, NY 10021, USA",40.7699738,-73.96440199999999,
El Museo del Barrio,4.4,"Museum devoted to Latino culture in the Americas, from the pre-Columbian era to modern times.",http://www.elmuseo.org/,"1230 5th Ave, New York, NY 10029, USA",40.7931183,-73.9514063,
Hayden Planetarium,4.6,Space exhibits & shows in a large & futuristic sphere that seems to float inside a glass cube.,https://www.amnh.org/research/hayden-planetarium,"200 Central Prk W, New York, NY 10024, USA",40.7814802,-73.9732193,
American Folk Art Museum,4.4,Museum showcasing traditional folk art plus works of contemporary self-taught artists.,http://www.folkartmuseum.org/,"2 Lincoln Square, New York, NY 10023, USA",40.7732389,-73.9814889,
Rose Center for Earth and Space,4.6,"Interactive exhibits, including the Space Show in the Hayden Planetarium, about the universe.",https://www.amnh.org/exhibitions/permanent/rose-center,"200 Central Prk W, New York, NY 10024, USA",40.781506,-73.9734537,
Play Street Museum - Upper West Side,4.9,,https://www.uws.playstreetmuseum.com/,"805 Columbus Ave, New York, NY 10025, USA",40.7950355,-73.9657324,
